"team","home_wins","away_wins","home_matches","away_matches","home_win_percentage","away_win_percentage"
"Chennai Super Kings",51,49,89,75,57.3033707865169,65.3333333333333
"Delhi Capitals",28,49,78,99,35.8974358974359,49.4949494949495
"Gujarat Lions",1,12,14,16,7.14285714285714,75
"Kings XI Punjab",38,44,91,85,41.7582417582418,51.7647058823529
"Kochi Tuskers Kerala",2,4,7,7,28.5714285714286,57.1428571428571
"Kolkata Knight Riders",34,58,83,95,40.9638554216867,61.0526315789474
"Mumbai Indians",58,51,101,86,57.4257425742574,59.3023255813954
"Rajasthan Royals",29,46,67,80,43.2835820895522,57.5
"Rising Pune Supergiants",11,11,28,34,39.2857142857143,32.3529411764706
"Royal Challengers Bangalore",35,49,85,95,41.1764705882353,51.5789473684211
"Sunrisers Hyderabad",48,39,106,77,45.2830188679245,50.6493506493506
