"match_id","batting","bowling","winner","dl","target","head_to_head","home_ground_advantage","batting_team_points","bowling_team_points","chase_win_perc","chase_win_perc_bat","defense_win_perc_bowl","first_inng_avg"
1,10,11,11,0,207,0.411764705882353,-1,0,0,0.0357142857142857,0.516129032258065,0.446601941747573,156.589285714286
2,9,7,9,0,184,0.333333333333333,1,0,0,0.238095238095238,0.4,0.585858585858586,170.952380952381
3,6,3,6,0,183,1,-1,0,0,0.1,0.610526315789474,0.0714285714285714,168.9
4,4,9,4,0,163,0.833333333333333,0,0,2,0.444444444444444,0.511904761904762,0.314285714285714,163.444444444444
6,11,3,11,0,135,1,1,2,0,0.5,0.506493506493506,0.0714285714285714,156.589285714286
7,7,6,7,0,178,0.785714285714286,1,0,2,0.575342465753425,0.6,0.414634146341463,167.876712328767
8,4,10,4,0,148,0.538461538461538,0,2,0,0.444444444444444,0.511904761904762,0.419753086419753,163.444444444444
9,9,2,2,0,205,0.4,1,2,0,0.238095238095238,0.4,0.368421052631579,170.952380952381
10,7,11,7,0,158,0.545454545454545,1,2,4,0.575342465753425,0.6,0.446601941747573,167.876712328767
11,6,4,6,0,170,0.705882352941177,1,2,4,0.584415584415584,0.610526315789474,0.417582417582418,161.623376623377
12,7,10,7,0,142,0.666666666666667,-1,4,0,0.114285714285714,0.6,0.419753086419753,170.114285714286
13,3,9,3,0,171,1,1,0,2,0.3,0.75,0.314285714285714,168.9
14,11,6,6,0,172,0.357142857142857,-1,4,4,0.025974025974026,0.506493506493506,0.414634146341463,161.623376623377
15,4,2,2,0,188,0.818181818181818,-1,4,2,0.0757575757575758,0.511904761904762,0.368421052631579,166.060606060606
16,7,3,7,0,176,1,1,6,2,0.575342465753425,0.6,0.0714285714285714,167.876712328767
17,10,9,9,0,161,0.5,1,0,2,0.471428571428571,0.516129032258065,0.314285714285714,170.114285714286
18,6,2,6,0,168,0.7,-1,6,4,0.0757575757575758,0.610526315789474,0.368421052631579,166.060606060606
19,4,11,11,0,159,0.4375,-1,4,4,0.0714285714285714,0.511904761904762,0.446601941747573,156.589285714286
20,3,10,10,0,213,0.5,1,2,0,0.3,0.75,0.419753086419753,168.9
21,2,11,11,0,191,0.615384615384615,-1,4,6,0.0714285714285714,0.494736842105263,0.446601941747573,156.589285714286
22,7,4,7,0,198,0.533333333333333,0,8,4,0.222222222222222,0.6,0.417582417582418,163.444444444444
23,3,6,3,0,187,1,-1,2,8,0.025974025974026,0.75,0.414634146341463,161.623376623377
24,2,7,7,0,142,0.411764705882353,-1,4,10,0.0410958904109589,0.494736842105263,0.585858585858586,167.876712328767
25,9,11,9,0,176,0.375,1,4,8,0.238095238095238,0.4,0.446601941747573,170.952380952381
26,3,4,4,0,188,0.5,1,4,4,0.3,0.75,0.417582417582418,168.9
27,10,6,6,0,131,0.5625,-1,2,8,0.051948051948052,0.516129032258065,0.414634146341463,161.623376623377
28,7,9,9,0,160,0.5,1,12,6,0.575342465753425,0.6,0.314285714285714,167.876712328767
29,6,9,6,0,182,0.8,-1,10,8,0.142857142857143,0.610526315789474,0.314285714285714,170.952380952381
30,3,10,3,0,134,0.5,-1,4,2,0.0142857142857143,0.75,0.419753086419753,170.114285714286
31,6,2,6,0,160,0.7,1,12,4,0.584415584415584,0.610526315789474,0.368421052631579,161.623376623377
32,4,11,11,0,207,0.4375,1,6,8,0.5,0.511904761904762,0.446601941747573,169.714285714286
33,10,9,9,0,157,0.5,-1,2,8,0.0952380952380952,0.516129032258065,0.314285714285714,170.952380952381
34,7,3,7,0,153,1,-1,12,6,0.1,0.6,0.0714285714285714,168.9
35,4,2,4,0,67,0.818181818181818,1,6,4,0.5,0.511904761904762,0.368421052631579,169.714285714286
36,6,11,11,0,209,0.666666666666667,-1,14,10,0.0892857142857143,0.610526315789474,0.446601941747573,156.589285714286
37,7,10,7,0,162,0.666666666666667,1,13,2,0.575342465753425,0.6,0.419753086419753,167.876712328767
38,9,3,9,0,161,1,1,10,7,0.238095238095238,0.4,0.0714285714285714,170.952380952381
39,2,11,2,0,185,0.615384615384615,1,4,12,0.409090909090909,0.494736842105263,0.446601941747573,166.060606060606
40,9,6,9,0,155,0.25,-1,12,14,0.012987012987013,0.4,0.414634146341463,161.623376623377
41,2,3,2,0,208,0.75,1,6,7,0.409090909090909,0.494736842105263,0.0714285714285714,166.060606060606
42,10,4,4,0,138,0.6,1,2,8,0.471428571428571,0.516129032258065,0.417582417582418,170.114285714286
43,11,9,9,0,148,0.5,1,12,14,0.5,0.506493506493506,0.314285714285714,156.589285714286
44,2,7,7,0,212,0.411764705882353,1,8,15,0.409090909090909,0.494736842105263,0.585858585858586,166.060606060606
45,6,10,6,0,158,0.875,-1,14,2,0.1,0.610526315789474,0.419753086419753,170.114285714286
46,3,4,3,0,189,0.5,-1,7,10,0.142857142857143,0.75,0.417582417582418,169.714285714286
47,11,7,11,0,138,0.416666666666667,1,12,17,0.5,0.506493506493506,0.585858585858586,156.589285714286
48,6,4,4,0,167,0.705882352941177,-1,16,10,0.0714285714285714,0.610526315789474,0.417582417582418,169.714285714286
49,2,3,2,0,195,0.75,-1,8,9,0.25,0.494736842105263,0.0714285714285714,161.25
50,7,4,4,0,230,0.533333333333333,1,17,12,0.575342465753425,0.6,0.417582417582418,167.876712328767
51,9,2,2,0,168,0.4,-1,16,10,0.0303030303030303,0.4,0.368421052631579,166.060606060606
52,11,3,11,0,154,1,-1,14,9,0.25,0.506493506493506,0.0714285714285714,161.25
53,6,7,7,0,173,0.272727272727273,1,16,17,0.584415584415584,0.610526315789474,0.585858585858586,161.623376623377
54,9,4,9,0,73,1,1,16,14,0.238095238095238,0.4,0.417582417582418,170.952380952381
55,2,10,10,0,161,0.444444444444444,1,12,2,0.409090909090909,0.494736842105263,0.419753086419753,166.060606060606
56,7,9,9,0,162,0.5,1,19,18,0.575342465753425,0.6,0.314285714285714,167.876712328767
57,6,11,6,1,128,0.666666666666667,0,16,16,0.1,0.610526315789474,0.446601941747573,170.114285714286
58,7,6,7,0,107,0.785714285714286,0,19,18,0.114285714285714,0.6,0.414634146341463,170.114285714286
59,9,7,7,0,129,0.333333333333333,0,20,21,0.0535714285714286,0.4,0.585858585858586,156.589285714286
60,10,6,6,0,222,0.5625,1,0,0,0.471428571428571,0.516129032258065,0.414634146341463,170.114285714286
61,4,1,1,0,240,0.363636363636364,1,0,0,0.514285714285714,0.511904761904762,0.568181818181818,163.285714285714
62,2,8,2,0,129,0.5,1,0,0,0.409090909090909,0.494736842105263,0.432835820895522,166.060606060606
63,10,7,10,0,165,0.333333333333333,-1,0,0,0.0410958904109589,0.516129032258065,0.585858585858586,167.876712328767
64,6,11,6,0,110,0.666666666666667,1,2,0,0.584415584415584,0.610526315789474,0.446601941747573,161.623376623377
65,8,4,8,0,166,0.4,1,0,0,0.680851063829787,0.597402597402597,0.417582417582418,159.872340425532
66,2,11,2,0,142,0.615384615384615,-1,2,0,0.0714285714285714,0.494736842105263,0.446601941747573,156.589285714286
67,7,1,1,0,208,0.583333333333333,-1,0,2,0.0612244897959184,0.6,0.568181818181818,166.857142857143
68,8,11,8,0,214,0.6875,-1,2,0,0.0357142857142857,0.597402597402597,0.446601941747573,156.589285714286
69,7,4,4,0,182,0.533333333333333,-1,0,0,0.0857142857142857,0.6,0.417582417582418,163.285714285714
70,8,10,8,0,135,0.666666666666667,-1,4,2,0.0571428571428571,0.597402597402597,0.419753086419753,170.114285714286
71,1,6,1,0,147,1,1,4,4,0.693877551020408,0.648648648648649,0.414634146341463,166.857142857143
72,11,7,11,0,154,0.416666666666667,-1,0,0,0.117647058823529,0.506493506493506,0.585858585858586,146.647058823529
73,4,2,4,0,158,0.818181818181818,1,2,4,0.514285714285714,0.511904761904762,0.368421052631579,163.285714285714
74,10,1,1,0,178,0.4,1,2,6,0.471428571428571,0.516129032258065,0.568181818181818,170.114285714286
75,7,6,7,0,137,0.785714285714286,-1,0,4,0.12987012987013,0.6,0.414634146341463,161.623376623377
76,10,2,2,0,191,0.666666666666667,-1,2,4,0.0909090909090909,0.516129032258065,0.368421052631579,166.060606060606
77,4,11,4,0,164,0.4375,-1,4,2,0.0714285714285714,0.511904761904762,0.446601941747573,156.589285714286
78,6,8,8,0,196,0.529411764705882,-1,4,6,0.0638297872340425,0.610526315789474,0.432835820895522,159.872340425532
79,2,1,2,0,169,0.307692307692308,-1,6,8,0.0408163265306122,0.494736842105263,0.568181818181818,166.857142857143
80,10,11,10,0,165,0.411764705882353,-1,6,4,0.0357142857142857,0.516129032258065,0.446601941747573,156.589285714286
81,6,4,4,0,178,0.705882352941177,-1,4,6,0.0571428571428571,0.610526315789474,0.417582417582418,163.285714285714
82,2,7,7,0,162,0.411764705882353,-1,8,2,0.0588235294117647,0.494736842105263,0.585858585858586,146.647058823529
83,8,1,8,0,109,0.454545454545455,1,8,8,0.680851063829787,0.597402597402597,0.568181818181818,159.872340425532
84,4,10,4,0,126,0.538461538461538,-1,8,4,0.0714285714285714,0.511904761904762,0.419753086419753,170.114285714286
85,11,1,11,0,144,0.384615384615385,-1,2,8,0.0408163265306122,0.506493506493506,0.568181818181818,166.857142857143
86,7,8,7,0,103,0.666666666666667,1,4,10,0.294117647058824,0.6,0.432835820895522,146.647058823529
87,1,2,1,0,187,0.75,-1,8,8,0.0757575757575758,0.648648648648649,0.368421052631579,166.060606060606
88,10,6,6,0,129,0.5625,-1,4,4,0.051948051948052,0.516129032258065,0.414634146341463,161.623376623377
89,8,11,8,0,140,0.6875,1,10,4,0.680851063829787,0.597402597402597,0.446601941747573,159.872340425532
90,7,10,7,0,122,0.666666666666667,-1,12,8,0.114285714285714,0.6,0.419753086419753,170.114285714286
91,4,1,1,0,181,0.363636363636364,-1,10,10,0.0408163265306122,0.511904761904762,0.568181818181818,166.857142857143
92,11,6,6,0,204,0.357142857142857,1,4,6,0.5,0.506493506493506,0.414634146341463,156.589285714286
93,8,2,8,0,156,0.6,1,12,8,0.680851063829787,0.597402597402597,0.368421052631579,159.872340425532
94,4,10,4,0,143,0.538461538461538,1,10,4,0.514285714285714,0.511904761904762,0.419753086419753,163.285714285714
95,2,6,6,0,133,0.5,-1,8,8,0.025974025974026,0.494736842105263,0.414634146341463,161.623376623377
96,7,1,7,0,156,0.583333333333333,1,6,12,0.575342465753425,0.6,0.568181818181818,167.876712328767
97,8,4,4,0,221,0.4,-1,22,18,0.0857142857142857,0.597402597402597,0.417582417582418,163.285714285714
98,11,2,2,0,194,0.636363636363636,-1,4,8,0.106060606060606,0.506493506493506,0.368421052631579,166.060606060606
99,7,6,7,0,67,0.785714285714286,1,8,10,0.575342465753425,0.6,0.414634146341463,167.876712328767
100,4,2,4,1,118,0.818181818181818,-1,12,10,0.0757575757575758,0.511904761904762,0.368421052631579,166.060606060606
101,10,8,8,0,197,0.555555555555556,-1,4,14,0.0638297872340425,0.516129032258065,0.432835820895522,159.872340425532
102,11,7,7,0,178,0.416666666666667,1,4,10,0.5,0.506493506493506,0.585858585858586,156.589285714286
103,1,6,1,1,149,1,-1,12,10,0.0649350649350649,0.648648648648649,0.414634146341463,161.623376623377
104,2,10,2,0,154,0.444444444444444,-1,10,4,0.0428571428571429,0.494736842105263,0.419753086419753,170.114285714286
105,8,6,8,0,147,0.666666666666667,-1,16,10,0.025974025974026,0.597402597402597,0.414634146341463,161.623376623377
106,7,4,4,0,189,0.533333333333333,1,12,14,0.575342465753425,0.6,0.417582417582418,167.876712328767
107,1,10,10,0,126,0.692307692307692,1,14,4,0.693877551020408,0.648648648648649,0.419753086419753,166.857142857143
108,4,11,4,0,175,0.4375,1,16,4,0.514285714285714,0.511904761904762,0.446601941747573,163.285714285714
109,2,7,2,0,176,0.411764705882353,1,12,12,0.409090909090909,0.494736842105263,0.585858585858586,166.060606060606
110,1,8,8,0,211,0.777777777777778,1,14,18,0.693877551020408,0.648648648648649,0.432835820895522,166.857142857143
111,11,10,10,0,156,0.5,-1,2,2,0.0428571428571429,0.506493506493506,0.419753086419753,170.114285714286
112,6,4,6,0,174,0.705882352941177,1,10,18,0.584415584415584,0.610526315789474,0.417582417582418,161.623376623377
113,8,7,8,0,145,0.571428571428571,1,20,12,0.680851063829787,0.597402597402597,0.585858585858586,159.872340425532
114,1,11,1,0,147,0.777777777777778,-1,14,4,0.0535714285714286,0.648648648648649,0.446601941747573,156.589285714286
115,2,8,8,0,192,0.5,0,14,22,0.0410958904109589,0.494736842105263,0.432835820895522,167.876712328767
116,1,4,1,0,112,0.5,0,16,20,0.0958904109589041,0.648648648648649,0.417582417582418,167.876712328767
117,8,1,8,0,163,0.454545454545455,0,24,18,0.0588235294117647,0.597402597402597,0.568181818181818,146.647058823529
118,1,7,7,0,165,0.333333333333333,0,0,0,0,0.648648648648649,0.585858585858586,139.428571428571
119,8,10,10,0,133,0.666666666666667,0,0,0,0.142857142857143,0.597402597402597,0.419753086419753,139.428571428571
120,2,4,2,1,104,0.615384615384615,0,0,0,0.142857142857143,0.494736842105263,0.417582417582418,139.428571428571
